frame,motions,detections,frame_motions,frame_detections
94,"(494.6666666666667, 275.3333333333333, 50.333333333333336, 65.66666666666667)","(0, 0, 0, 0)","[(392, 292, 28, 34), (605, 284, 71, 114), (487, 250, 52, 49)]",[]
95,"(543.4, 268.8, 35.6, 52.4)","(0, 0, 0, 0)","[(393, 292, 26, 30), (607, 288, 25, 78), (607, 258, 29, 20), (623, 255, 73, 103), (487, 251, 25, 31)]",[]
96,"(600.5, 247.75, 72.25, 61.75)","(0, 0, 0, 0)","[(607, 284, 81, 80), (488, 280, 50, 45), (655, 220, 107, 86), (652, 207, 51, 36)]",[]
97,"(654.8, 255.6, 62.4, 54.4)","(0, 0, 0, 0)","[(738, 286, 35, 21), (607, 285, 70, 79), (485, 255, 55, 74), (731, 242, 90, 59), (713, 210, 62, 39)]",[]
98,"(708.6666666666666, 267.3333333333333, 55.0, 46.0)","(0, 0, 0, 0)","[(850, 295, 39, 25), (607, 285, 66, 77), (840, 281, 55, 24), (488, 271, 52, 56), (604, 240, 39, 38), (863, 232, 79, 56)]",[]
99,"(760.6, 254.6, 50.8, 51.4)","(0, 0, 0, 0)","[(606, 285, 66, 77), (492, 273, 48, 55), (862, 260, 41, 14), (897, 239, 59, 81), (946, 216, 40, 30)]",[]
100,"(727.5, 253.0, 67.75, 56.75)","(0, 0, 0, 0)","[(608, 285, 62, 74), (498, 276, 42, 50), (950, 235, 53, 18), (854, 216, 114, 85)]",[]
101,"(651.0, 256.0, 70.0, 65.66666666666667)","(0, 0, 0, 0)","[(612, 285, 58, 71), (503, 284, 35, 40), (838, 199, 117, 86)]",[]
102,"(742.75, 259.75, 44.25, 55.75)","(0, 0, 0, 0)","[(505, 287, 33, 37), (614, 284, 55, 71), (965, 266, 32, 30), (887, 202, 57, 85)]",[]
103,"(864.0, 273.5, 52.25, 42.75)","(0, 0, 0, 0)","[(945, 297, 28, 21), (617, 288, 52, 70), (967, 264, 82, 25), (927, 245, 47, 55)]",[]
